Foto, Nimi, Vanus, Reiting, Palk, Reputatsioon, Motivatsioon, Riik
<img src="https://cdn.sofifa.org/players/4/19/194765.png">,A. Griezmann,27,89,145,4,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/192448.png">,M. ter Stegen,26,89,240,3,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/192119.png">,T. Courtois,26,89,240,4,Keskmine,Belgium
<img src="https://cdn.sofifa.org/players/4/19/189511.png">,Sergio Busquets,29,89,315,4,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/179813.png">,E. Cavani,31,89,200,4,K&otilde;rge,Uruguay
<img src="https://cdn.sofifa.org/players/4/19/167495.png">,M. Neuer,32,89,130,5,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/153079.png">,S. Ag&uuml;ero,30,89,300,4,K&otilde;rge,Argentina
<img src="https://cdn.sofifa.org/players/4/19/138956.png">,G. Chiellini,33,89,215,4,K&otilde;rge,Italy
<img src="https://cdn.sofifa.org/players/4/19/231747.png">,K. Mbapp&eacute;,19,88,100,3,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/209331.png">,M. Salah,26,88,255,3,K&otilde;rge,Egypt
<img src="https://cdn.sofifa.org/players/4/19/200145.png">,Casemiro,26,88,285,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/198710.png">,J. Rodr&iacute;guez,26,88,315,4,Keskmine,Colombia
<img src="https://cdn.sofifa.org/players/4/19/198219.png">,L. Insigne,27,88,165,3,K&otilde;rge,Italy
<img src="https://cdn.sofifa.org/players/4/19/197781.png">,Isco,26,88,315,3,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/190460.png">,C. Eriksen,26,88,205,3,K&otilde;rge,Denmark
<img src="https://cdn.sofifa.org/players/4/19/189242.png">,Coutinho,26,88,340,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/188567.png">,P. Aubameyang,29,88,265,3,Madal,Gabon
<img src="https://cdn.sofifa.org/players/4/19/178603.png">,M. Hummels,29,88,160,4,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/176676.png">,Marcelo,30,88,285,4,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/173731.png">,G. Bale,28,88,355,4,K&otilde;rge,Wales
<img src="https://cdn.sofifa.org/players/4/19/167948.png">,H. Lloris,31,88,150,4,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/167664.png">,G. Higua&iacute;n,30,88,245,4,K&otilde;rge,Argentina
<img src="https://cdn.sofifa.org/players/4/19/164240.png">,Thiago Silva,33,88,165,4,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/162835.png">,S. Handanovi&#269;,33,88,110,3,Keskmine,Slovenia
<img src="https://cdn.sofifa.org/players/4/19/1179.png">,G. Buffon,40,88,77,4,Keskmine,Italy
<img src="https://cdn.sofifa.org/players/4/19/205600.png">,S. Umtiti,24,87,205,3,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/201399.png">,M. Icardi,25,87,130,3,Madal,Argentina
<img src="https://cdn.sofifa.org/players/4/19/201024.png">,K. Koulibaly,27,87,115,3,K&otilde;rge,Senegal
<img src="https://cdn.sofifa.org/players/4/19/195864.png">,P. Pogba,25,87,210,4,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/193041.png">,K. Navas,31,87,195,3,Keskmine,Costa Rica
<img src="https://cdn.sofifa.org/players/4/19/192505.png">,R. Lukaku,25,87,230,3,Keskmine,Belgium
<img src="https://cdn.sofifa.org/players/4/19/192387.png">,C. Immobile,28,87,115,3,K&otilde;rge,Italy
<img src="https://cdn.sofifa.org/players/4/19/189332.png">,Jordi Alba,29,87,250,3,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/175943.png">,D. Mertens,31,87,135,3,Keskmine,Belgium
<img src="https://cdn.sofifa.org/players/4/19/172871.png">,J. Vertonghen,31,87,155,3,K&otilde;rge,Belgium
<img src="https://cdn.sofifa.org/players/4/19/171877.png">,M. Ham&scaron;&iacute;k,30,87,125,3,K&otilde;rge,Slovakia
<img src="https://cdn.sofifa.org/players/4/19/168651.png">,I. Rakiti&#263;,30,87,260,4,K&otilde;rge,Croatia
<img src="https://cdn.sofifa.org/players/4/19/152729.png">,Piqu&eacute;,31,87,240,4,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/222492.png">,L. San&eacute;,22,86,195,2,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/218667.png">,Bernardo Silva,23,86,180,2,K&otilde;rge,Portugal
<img src="https://cdn.sofifa.org/players/4/19/210257.png">,Ederson,24,86,125,2,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/208722.png">,S. Man&eacute;,26,86,195,3,K&otilde;rge,Senegal
<img src="https://cdn.sofifa.org/players/4/19/203376.png">,V. van Dijk,26,86,165,3,Keskmine,Netherlands
<img src="https://cdn.sofifa.org/players/4/19/202652.png">,R. Sterling,23,86,195,3,K&otilde;rge,England
<img src="https://cdn.sofifa.org/players/4/19/201942.png">,Roberto Firmino,26,86,195,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/201535.png">,R. Varane,25,86,210,3,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/199556.png">,M. Verratti,25,86,135,3,K&otilde;rge,Italy
<img src="https://cdn.sofifa.org/players/4/19/191043.png">,Alex Sandro,27,86,160,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/190483.png">,Douglas Costa,27,86,175,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/189596.png">,T. M&uuml;ller,28,86,135,4,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/189509.png">,Thiago,27,86,130,3,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/188350.png">,M. Reus,29,86,100,4,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/184432.png">,Azpilicueta,28,86,175,3,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/184344.png">,L. Bonucci,31,86,160,3,Madal,Italy
<img src="https://cdn.sofifa.org/players/4/19/184087.png">,T. Alderweireld,29,86,150,3,Keskmine,Belgium
<img src="https://cdn.sofifa.org/players/4/19/180206.png">,M. Pjani&#263;,28,86,180,3,Keskmine,Bosnia Herzegovina
<img src="https://cdn.sofifa.org/players/4/19/177509.png">,M. Benatia,31,86,160,3,K&otilde;rge,Morocco
<img src="https://cdn.sofifa.org/players/4/19/176635.png">,M. &Ouml;zil,29,86,190,4,Madal,Germany
<img src="https://cdn.sofifa.org/players/4/19/135507.png">,Fernandinho,33,86,185,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/41.png">,Iniesta,34,86,21,4,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/232363.png">,M. &Scaron;kriniar,23,85,82,1,K&otilde;rge,Slovakia
<img src="https://cdn.sofifa.org/players/4/19/223848.png">,S. Milinkovi&#263;-Savi&#263;,23,85,73,2,K&otilde;rge,Serbia
<img src="https://cdn.sofifa.org/players/4/19/220834.png">,Marco Asensio,22,85,215,3,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/216594.png">,N. Fekir,24,85,92,3,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/212831.png">,Alisson,25,85,115,3,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/212622.png">,J. Kimmich,23,85,92,3,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/208421.png">,Sa&uacute;l,23,85,77,3,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/204485.png">,R. Mahrez,27,85,205,3,Keskmine,Algeria
<img src="https://cdn.sofifa.org/players/4/19/197445.png">,D. Alaba,26,85,110,4,K&otilde;rge,Austria
<img src="https://cdn.sofifa.org/players/4/19/193747.png">,Koke,26,85,88,3,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/193301.png">,A. Lacazette,27,85,180,3,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/192774.png">,K. Manolas,27,85,96,3,Madal,Greece
<img src="https://cdn.sofifa.org/players/4/19/192366.png">,N. Otamendi,30,85,170,3,K&otilde;rge,Argentina
<img src="https://cdn.sofifa.org/players/4/19/189513.png">,Parejo,29,85,66,2,Madal,Spain
<img src="https://cdn.sofifa.org/players/4/19/187961.png">,Paulinho,29,85,235,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/186153.png">,W. Szcz?sny,28,85,125,3,Keskmine,Poland
<img src="https://cdn.sofifa.org/players/4/19/184941.png">,A. S&aacute;nchez,29,85,215,4,K&otilde;rge,Chile
<img src="https://cdn.sofifa.org/players/4/19/184267.png">,Y. Brahimi,28,85,28,3,K&otilde;rge,Algeria
<img src="https://cdn.sofifa.org/players/4/19/183907.png">,J. Boateng,29,85,115,4,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/181872.png">,A. Vidal,31,85,205,4,Keskmine,Chile
<img src="https://cdn.sofifa.org/players/4/19/181458.png">,I. Peri&scaron;i&#263;,29,85,110,3,Keskmine,Croatia
<img src="https://cdn.sofifa.org/players/4/19/180930.png">,E. D&#382;eko,32,85,115,3,Keskmine,Bosnia Herzegovina
<img src="https://cdn.sofifa.org/players/4/19/179846.png">,S. Khedira,31,85,160,3,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/179844.png">,Diego Costa,29,85,100,4,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/178518.png">,R. Nainggolan,30,85,105,3,K&otilde;rge,Belgium
<img src="https://cdn.sofifa.org/players/4/19/171919.png">,Naldo,35,85,38,3,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/170890.png">,B. Matuidi,31,85,145,3,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/168609.png">,Miranda,33,85,96,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/165153.png">,K. Benzema,30,85,240,4,Madal,France
<img src="https://cdn.sofifa.org/players/4/19/164169.png">,Filipe Lu&iacute;s,32,85,81,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/139720.png">,V. Kompany,32,85,170,4,K&otilde;rge,Belgium
<img src="https://cdn.sofifa.org/players/4/19/120533.png">,Pepe,35,85,57,4,K&otilde;rge,Portugal
<img src="https://cdn.sofifa.org/players/4/19/41236.png">,Z. Ibrahimovi&#263;,36,85,15,5,Madal,Sweden
<img src="https://cdn.sofifa.org/players/4/19/220793.png">,D. S&aacute;nchez,22,84,105,2,K&otilde;rge,Colombia
<img src="https://cdn.sofifa.org/players/4/19/216460.png">,J. Gim&eacute;nez,23,84,63,2,K&otilde;rge,Uruguay
<img src="https://cdn.sofifa.org/players/4/19/212462.png">,Alex Telles,25,84,22,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/212218.png">,A. Laporte,24,84,135,2,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/212198.png">,Bruno Fernandes,23,84,22,2,K&otilde;rge,Portugal
<img src="https://cdn.sofifa.org/players/4/19/212190.png">,N. S&uuml;le,22,84,84,2,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/211300.png">,A. Martial,22,84,165,3,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/211117.png">,D. Alli,22,84,115,3,K&otilde;rge,England
<img src="https://cdn.sofifa.org/players/4/19/209499.png">,Fabinho,24,84,120,3,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/207865.png">,Marquinhos,24,84,90,3,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/207566.png">,William Carvalho,26,84,38,3,Keskmine,Portugal
<img src="https://cdn.sofifa.org/players/4/19/205498.png">,Jorginho,26,84,155,2,Keskmine,Italy
<img src="https://cdn.sofifa.org/players/4/19/204970.png">,F. Thauvin,25,84,72,2,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/204963.png">,Carvajal,26,84,185,3,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/202556.png">,M. Depay,24,84,93,3,Keskmine,Netherlands
<img src="https://cdn.sofifa.org/players/4/19/200104.png">,H. Son,25,84,125,3,K&otilde;rge,Korea Republic
<img src="https://cdn.sofifa.org/players/4/19/199482.png">,A. Lopes,27,84,72,2,Keskmine,Portugal
<img src="https://cdn.sofifa.org/players/4/19/198176.png">,S. de Vrij,26,84,88,3,K&otilde;rge,Netherlands
<img src="https://cdn.sofifa.org/players/4/19/198009.png">,M. Perin,25,84,105,2,Keskmine,Italy
<img src="https://cdn.sofifa.org/players/4/19/193082.png">,J. Cuadrado,30,84,150,3,K&otilde;rge,Colombia
<img src="https://cdn.sofifa.org/players/4/19/192629.png">,Iago Aspas,30,84,45,2,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/192563.png">,B. Leno,26,84,115,3,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/191202.png">,N. Mati&#263;,29,84,165,3,K&otilde;rge,Serbia
<img src="https://cdn.sofifa.org/players/4/19/190941.png">,L. Hr&aacute;deck&yacute;,28,84,74,2,Keskmine,Finland
<img src="https://cdn.sofifa.org/players/4/19/190584.png">,Illarramendi,28,84,51,2,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/188377.png">,K. Walker,28,84,165,3,K&otilde;rge,England
<img src="https://cdn.sofifa.org/players/4/19/186942.png">,I. G&uuml;ndo?an,27,84,175,3,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/185020.png">,Jos&eacute; Callej&oacute;n,31,84,105,3,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/183898.png">,A. Di Mar&iacute;a,30,84,125,4,K&otilde;rge,Argentina
<img src="https://cdn.sofifa.org/players/4/19/181783.png">,M. Mand&#382;uki&#263;,32,84,160,3,K&otilde;rge,Croatia
<img src="https://cdn.sofifa.org/players/4/19/180403.png">,Willian,29,84,175,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/178750.png">,Sergio Asenjo,29,84,42,2,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/178562.png">,E. Banega,30,84,31,3,Keskmine,Argentina
<img src="https://cdn.sofifa.org/players/4/19/177413.png">,A. Witsel,29,84,77,3,Keskmine,Belgium
<img src="https://cdn.sofifa.org/players/4/19/177388.png">,D. Payet,31,84,75,3,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/176769.png">,Jonas,34,84,25,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/172879.png">,Sokratis,30,84,140,3,K&otilde;rge,Greece
<img src="https://cdn.sofifa.org/players/4/19/167628.png">,S. Ruffier,31,84,41,3,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/167397.png">,Falcao,32,84,115,3,K&otilde;rge,Colombia
<img src="https://cdn.sofifa.org/players/4/19/163587.png">,K. Schmeichel,31,84,78,2,Keskmine,Denmark
<img src="https://cdn.sofifa.org/players/4/19/157481.png">,Ra&uacute;l Albiol,32,84,88,3,Madal,Spain
<img src="https://cdn.sofifa.org/players/4/19/143076.png">,A. G&oacute;mez,30,84,53,3,K&otilde;rge,Argentina
<img src="https://cdn.sofifa.org/players/4/19/137186.png">,A. Barzagli,37,84,95,3,Madal,Italy
<img src="https://cdn.sofifa.org/players/4/19/20775.png">,Quaresma,34,84,80,3,Keskmine,Portugal
<img src="https://cdn.sofifa.org/players/4/19/9014.png">,A. Robben,34,84,110,4,Keskmine,Netherlands
<img src="https://cdn.sofifa.org/players/4/19/231443.png">,O. Demb&eacute;l&eacute;,21,83,155,3,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/230666.png">,Gabriel Jesus,21,83,130,2,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/230481.png">,Ronaldo Cabrais,26,83,51,1,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/230375.png">,Josu&eacute; Chiamulera,26,83,43,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/230294.png">,Louri Beretta,26,83,60,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/225850.png">,P. Kimpembe,22,83,82,2,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/220971.png">,N. Ke&iuml;ta,23,83,120,2,K&otilde;rge,Guinea
<img src="https://cdn.sofifa.org/players/4/19/219683.png">,C. Tolisso,23,83,85,2,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/213565.png">,T. Lemar,22,83,64,3,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/213345.png">,K. Coman,22,83,85,2,Madal,France
<img src="https://cdn.sofifa.org/players/4/19/213331.png">,J. Tah,22,83,67,2,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/212523.png">,Anderson Talisca,24,83,18,2,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/212188.png">,T. Werner,22,83,70,3,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/210008.png">,A. Rabiot,23,83,91,2,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/209658.png">,L. Goretzka,23,83,85,3,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/208808.png">,Q. Promes,26,83,28,2,Keskmine,Netherlands
<img src="https://cdn.sofifa.org/players/4/19/208670.png">,H. Ziyech,25,83,28,3,K&otilde;rge,Morocco
<img src="https://cdn.sofifa.org/players/4/19/208618.png">,Lucas V&aacute;zquez,27,83,205,2,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/208418.png">,Y. Carrasco,24,83,20,3,K&otilde;rge,Belgium
<img src="https://cdn.sofifa.org/players/4/19/208093.png">,Gerard Moreno,26,83,53,1,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/207863.png">,Felipe,29,83,22,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/207410.png">,M. Kova&#269;i&#263;,24,83,165,3,K&otilde;rge,Croatia
<img src="https://cdn.sofifa.org/players/4/19/206585.png">,Kepa,23,83,84,1,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/206545.png">,Manu Trigueros,26,83,49,2,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/206113.png">,S. Gnabry,22,83,85,2,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/204935.png">,J. Pickford,24,83,78,1,Keskmine,England
<img src="https://cdn.sofifa.org/players/4/19/204639.png">,S. Savi&#263;,27,83,67,2,K&otilde;rge,Montenegro
<img src="https://cdn.sofifa.org/players/4/19/203574.png">,J. Stones,24,83,125,2,K&otilde;rge,England
<img src="https://cdn.sofifa.org/players/4/19/202651.png">,Suso,24,83,115,3,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/202166.png">,J. Draxler,24,83,91,3,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/201995.png">,Felipe Anderson,25,83,110,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/200949.png">,Lucas Moura,25,83,115,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/200888.png">,Danilo Pereira,26,83,21,3,K&otilde;rge,Portugal
<img src="https://cdn.sofifa.org/players/4/19/200724.png">,Nacho Fern&aacute;ndez,28,83,180,2,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/200316.png">,T. Horn,25,83,25,2,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/199914.png">,Allan,27,83,87,2,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/199845.png">,F. Acerbi,30,83,64,2,Keskmine,Italy
<img src="https://cdn.sofifa.org/players/4/19/199564.png">,Sergi Roberto,26,83,170,3,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/198329.png">,Rodrigo,27,83,57,2,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/197965.png">,Pizzi,28,83,22,3,K&otilde;rge,Portugal
<img src="https://cdn.sofifa.org/players/4/19/195365.png">,K. Kampl,27,83,74,2,K&otilde;rge,Slovenia
<img src="https://cdn.sofifa.org/players/4/19/194404.png">,Neto,28,83,41,2,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/193698.png">,O. Baumann,28,83,42,2,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/193474.png">,I. Gueye,28,83,125,2,K&otilde;rge,Senegal
<img src="https://cdn.sofifa.org/players/4/19/192883.png">,H. Mkhitaryan,29,83,145,3,Keskmine,Armenia
<img src="https://cdn.sofifa.org/players/4/19/192638.png">,Marcos Alonso,27,83,130,2,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/192593.png">,D. Suba&scaron;i&#263;,33,83,70,3,Keskmine,Croatia
<img src="https://cdn.sofifa.org/players/4/19/190547.png">,K. Glik,30,83,86,3,Madal,Poland
<img src="https://cdn.sofifa.org/players/4/19/189712.png">,K. Strootman,28,83,66,3,K&otilde;rge,Netherlands
<img src="https://cdn.sofifa.org/players/4/19/189068.png">,B. Dost,29,83,26,3,Keskmine,Netherlands
<img src="https://cdn.sofifa.org/players/4/19/188152.png">,Oscar,26,83,29,3,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/186627.png">,M. Balotelli,27,83,55,4,Madal,Italy
<img src="https://cdn.sofifa.org/players/4/19/185221.png">,Luiz Gustavo,30,83,63,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/184942.png">,Giuliano,28,83,64,2,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/179944.png">,David Luiz,31,83,130,4,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/179783.png">,R. F&auml;hrmann,29,83,38,2,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/178088.png">,Juan Mata,30,83,160,3,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/178086.png">,Ad&aacute;n,31,83,55,2,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/178005.png">,Rui Patr&iacute;cio,30,83,74,3,Keskmine,Portugal
<img src="https://cdn.sofifa.org/players/4/19/177683.png">,Y. Sommer,29,83,35,3,Keskmine,Switzerland
<img src="https://cdn.sofifa.org/players/4/19/177610.png">,Javi Mart&iacute;nez,29,83,94,3,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/177457.png">,L. Bender,29,83,82,3,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/176266.png">,Lucas Leiva,31,83,64,3,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/163705.png">,S. Mandanda,33,83,51,3,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/162895.png">,Cesc F&agrave;bregas,31,83,140,4,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/162240.png">,M. Demb&eacute;l&eacute;,30,83,120,3,Keskmine,Belgium
<img src="https://cdn.sofifa.org/players/4/19/156616.png">,F. Rib&eacute;ry,35,83,72,4,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/104389.png">,R. Jarstein,33,83,33,2,Keskmine,Norway
<img src="https://cdn.sofifa.org/players/4/19/53302.png">,D. De Rossi,34,83,80,3,K&otilde;rge,Italy
<img src="https://cdn.sofifa.org/players/4/19/24630.png">,Pepe Reina,35,83,56,3,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/236583.png">,J. Pavlenka,26,82,30,1,Keskmine,Czech Republic
<img src="https://cdn.sofifa.org/players/4/19/235243.png">,M. de Ligt,18,82,11,2,Keskmine,Netherlands
<img src="https://cdn.sofifa.org/players/4/19/231866.png">,Rodri,22,82,59,1,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/230658.png">,Arthur,21,82,125,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/230621.png">,G. Donnarumma,19,82,23,3,Keskmine,Italy
<img src="https://cdn.sofifa.org/players/4/19/230258.png">,Rosberto Dourado,30,82,46,1,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/230225.png">,Juiano Mestres,34,82,39,1,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/230168.png">,Raphaelito Anjos,30,82,32,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/227055.png">,Gelson Martins,23,82,59,3,K&otilde;rge,Portugal
<img src="https://cdn.sofifa.org/players/4/19/224411.png">,Gon&ccedil;alo Guedes,21,82,36,1,Keskmine,Portugal
<img src="https://cdn.sofifa.org/players/4/19/223959.png">,L. Torreira,22,82,98,2,K&otilde;rge,Uruguay
<img src="https://cdn.sofifa.org/players/4/19/222737.png">,Malcom,21,82,140,2,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/221087.png">,Pau L&oacute;pez,23,82,21,1,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/220814.png">,L. Hern&aacute;ndez,22,82,53,1,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/220440.png">,C. Lenglet,23,82,135,1,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/216354.png">,A. Kramari&#263;,27,82,54,2,Keskmine,Croatia
